职位名称,公司名称,工作地点,工作经验,学历,招聘人数,发布时间,公司性质,公司规模,所属行业,工资
大数据BI高级开发工程师04,上海联恩贸易发展有限公司,上海-徐汇区,3-4年经验,本科,招若干人,2-1发布,民营公司,150-500人,"互联网/电子商务,快速消费品(食品、饮料、化妆品)",2.5-3.5万/月
前端开发工程师（大数据）,飞书深诺数字科技（上海）有限公司,上海-长宁区,5-7年经验,本科,招1人,2-1发布,民营公司,500-1000人,"互联网/电子商务,广告",1.8-3万/月
大数据开发工程师,广州市蜗牛互动科技有限公司,广州-天河区,3-4年经验,本科,招1人,2-1发布,民营公司,50-150人,"互联网/电子商务,网络游戏",1.5-2万/月
大数据开发高级工程师,常州健康医疗大数据运营有限公司,常州-钟楼区,3-4年经验,本科,招1人,2-1发布,国企,,互联网/电子商务,2-2.5万/月
大数据开发工程师,深圳市易佰网络科技有限公司武汉分公司,武汉,3-4年经验,本科,招5人,2-1发布,民营公司,1000-5000人,"互联网/电子商务,贸易/进出口",0.8-1.5万/月
大数据开发工程师,南京迈特望科技股份有限公司,北京-西城区,1年经验,大专,招2人,2-1发布,上市公司,1000-5000人,"计算机软件,互联网/电子商务",0.7-1.1万/月
大数据开发工程师,上海航动科技有限公司,上海-徐汇区,2年经验,大专,招1人,2-1发布,民营公司,150-500人,"通信/电信运营、增值服务,互联网/电子商务",1.4-2万/月
大数据开发工程师,上海成蹊信息科技有限公司,上海-徐汇区,3-4年经验,本科,招若干人,2-1发布,民营公司,150-500人,"网络游戏,互联网/电子商务",1.5-3万/月
大数据开发工程师,上海麦美网络科技有限公司,上海-浦东新区,2年经验,大专,招若干人,2-1发布,民营公司,少于50人,"计算机软件,互联网/电子商务",1-1.5万/月
大数据开发工程师,杭州买买友网络科技有限公司,杭州-余杭区,3-4年经验,本科,招2人,2-1发布,民营公司,150-500人,"互联网/电子商务,计算机软件",1.5-2万/月
大数据开发工程师 (MJ000036),欢网科技有限责任公司,北京-朝阳区,5-7年经验,本科,招1人,2-1发布,合资,150-500人,互联网/电子商务,1.5-2.5万/月
大数据开发工程师（平台方向）,阅文集团,上海-浦东新区,5-7年经验,本科,招若干人,2-1发布,上市公司,1000-5000人,互联网/电子商务,2-4万/月
离线大数据开发工程师 (职位编号：6868566715966523661),字节跳动,上海,无需经验,本科,招5人,2-1发布,民营公司,10000人以上,"互联网/电子商务,计算机软件",2-4万/月
高级大数据开发工程师 (MJ000018),武汉掌游科技有限公司,武汉-洪山区,3-4年经验,本科,招2人,1-3发布,民营公司,150-500人,"网络游戏,互联网/电子商务",1.3-2.3万/月
大数据开发工程师,四三九九网络股份有限公司,厦门,1年经验,本科,招2人,2-1发布,民营公司,1000-5000人,"网络游戏,互联网/电子商务",1.5-2万/月
大数据基础平台-K8S开发工程师,北京搜狗科技发展有限公司,北京-海淀区,3-4年经验,本科,招2人,1-27发布,外资（非欧美）,1000-5000人,互联网/电子商务,2.5-4万/月
大数据开发工程师,中国互联网络信息中心（CNNIC）,北京,无需经验,硕士,招2人,12-28发布,事业单位,150-500人,"互联网/电子商务,通信/电信运营、增值服务",1-2万/月
大数据开发工程师 (职位编号：1),苏宁易购集团股份有限公司,南京,3-4年经验,本科,招若干人,12-25发布,上市公司,10000人以上,互联网/电子商务,2-2.5万/月
大数据开发工程师,广州易幻网络科技有限公司,广州,2年经验,本科,招1人,1-29发布,上市公司,500-1000人,"网络游戏,互联网/电子商务",1.4-3万/月
大数据开发工程师,友谊时光科技股份有限公司,苏州-工业园区,3-4年经验,本科,招1人,1-25发布,上市公司,1000-5000人,"网络游戏,互联网/电子商务",0.9-1.6万/月
大数据开发工程师,金蝶软件（中国）有限公司,北京-东城区,2年经验,本科,招3人,1-13发布,外资（非欧美）,5000-10000人,"计算机软件,互联网/电子商务",1.5-2万/月
大数据开发工程师,宁波小遛共享信息科技有限公司,杭州-江干区,1年经验,大专,招1人,2-1发布,民营公司,1000-5000人,"计算机软件,互联网/电子商务",1-2万/月
高级大数据开发工程师（非外包）,深圳万顺叫车云信息技术有限公司,深圳-宝安区,5-7年经验,本科,招2人,2-1发布,民营公司,500-1000人,"交通/运输/物流,互联网/电子商务",1.8-3万/月
广告大数据开发工程师,上海姚际信息科技有限公司,上海-徐汇区,2年经验,本科,招若干人,2-1发布,民营公司,150-500人,"网络游戏,互联网/电子商务",2.5-3.5万/月
大数据开发工程师,瑞泰信息技术有限公司,苏州,2年经验,本科,招1人,2-1发布,民营公司,150-500人,"计算机软件,互联网/电子商务",1.5-3万/月
大数据开发工程师（长沙）,深圳微品致远信息科技有限公司,长沙,3-4年经验,大专,招若干人,2-1发布,民营公司,150-500人,"互联网/电子商务,计算机软件",0.7-1.5万/月
大数据开发工程师,上海走起网络科技有限公司,成都-成华区,2年经验,大专,招1人,2-1发布,合资,50-150人,"通信/电信运营、增值服务,互联网/电子商务",0.8-1.5万/月
大数据开发工程师,汇通达网络股份有限公司,南京,3-4年经验,大专,招1人,2-1发布,民营公司,5000-10000人,"互联网/电子商务,家具/家电/玩具/礼品",1.2-2.5万/月
大数据开发工程师,广东钛马车联网信息科技有限公司,广州-天河区,5-7年经验,本科,招1人,2-1发布,民营公司,50-150人,"互联网/电子商务,计算机软件",1-1.5万/月
大数据开发工程师,卫盈联信息技术（深圳）有限公司,深圳-南山区,5-7年经验,本科,招3人,2-1发布,外资（非欧美）,500-1000人,互联网/电子商务,1.5-3万/月
大数据开发工程师,餐道信息科技有限公司,广州-荔湾区,5-7年经验,本科,招2人,2-1发布,外资（非欧美）,150-500人,互联网/电子商务,1.5-2.5万/月
大数据开发工程师,构美（浙江）信息科技有限公司,杭州-江干区,5-7年经验,本科,招1人,2-1发布,民营公司,150-500人,"互联网/电子商务,影视/媒体/艺术/文化传播",2-3万/月
大数据开发工程师（spark）,广州阿凡提电子科技有限公司,广州,5-7年经验,本科,招1人,2-1发布,民营公司,150-500人,"互联网/电子商务,汽车",2.3-3万/月
大数据开发工程师,北京公瑾科技有限公司广州分公司（慧算账）,广州-天河区,3-4年经验,本科,招1人,2-1发布,民营公司,1000-5000人,"互联网/电子商务,计算机软件",1-2万/月
大数据开发工程师(JWFT1),广州大蓝网络科技有限公司,广州-海珠区,1年经验,本科,招2人,2-1发布,民营公司,150-500人,"网络游戏,互联网/电子商务",1.5-2万/月
Java高级开发工程师（大数据方向）,格创东智（深圳）科技有限公司,深圳-光明新区,3-4年经验,本科,招2人,2-1发布,民营公司,500-1000人,"电子技术/半导体/集成电路,互联网/电子商务",1.5-2万/月
大数据开发工程师,上海天擎信息技术有限公司,上海-普陀区,3-4年经验,大专,招1人,2-1发布,民营公司,1000-5000人,互联网/电子商务,1.5-2万/月
大数据开发工程师,上海亦恺互联网科技有限公司,上海-普陀区,5-7年经验,本科,招1人,2-1发布,外资（非欧美）,50-150人,"互联网/电子商务,计算机服务(系统、数据服务、维修)",1.5-2.5万/月
大数据开发工程师,奇利匙信息技术（上海）有限公司,上海,3-4年经验,大专,招1人,2-1发布,外资（欧美）,1000-5000人,"计算机服务(系统、数据服务、维修),互联网/电子商务",2-2.5万/月
大数据开发工程师,云南汇丰建设投资集团有限公司,昆明-西山区,3-4年经验,大专,招2人,2-1发布,民营公司,150-500人,"建筑/建材/工程,互联网/电子商务",1-2万/月
大数据开发工程师,上海钢银电子商务股份有限公司,上海,3-4年经验,本科,招1人,2-1发布,上市公司,1000-5000人,互联网/电子商务,2.5-3.5万/月
大数据开发工程师,上海下吉软件技术中心,上海-青浦区,3-4年经验,大专,招若干人,2-1发布,民营公司,150-500人,互联网/电子商务,1.4-1.8万/月
大数据开发工程师,蜜源（广州）新媒体科技有限公司,广州-海珠区,5-7年经验,大专,招1人,2-1发布,民营公司,150-500人,互联网/电子商务,1.5-2.5万/月
大数据开发工程师助理,河南艾茵斯物联网科技有限公司,郑州,无需经验,中专,招16人,2-1发布,民营公司,150-500人,"计算机软件,互联网/电子商务",4.5-6千/月
大数据高级开发工程师,泓盛泰企业管理,成都-高新区,3-4年经验,本科,招2人,2-1发布,民营公司,500-1000人,"互联网/电子商务,多元化业务集团公司",1.8-2.5万/月
大数据开发工程师 (MJ000079),搜款网VVIC,广州-天河区,3-4年经验,本科,招1人,2-1发布,民营公司,150-500人,"互联网/电子商务,计算机软件",1.2-1.8万/月
